Kaži Važi, 548272520, 
Keg&Krigla, 234390222, 
Klein House Social Bar and Art Gallery, 1979405034, 
Koppa specialty coffee, 645007911, https://www.openstreetmap.org/node/11609744410
Kuca coffee, 2135394329, 
Kuku, 1386094206, https://www.openstreetmap.org/node/11704695815
Kuća Umetnica, 2047780623, https://www.openstreetmap.org/node/11812618100
LA RUMBA, 1713080976, https://www.openstreetmap.org/node/12170299952
LUFF GELATO Vračar, 1981937180, 
LUMI - Specialty Coffee, 1727952958, 
La la kafe, 1802609412, https://www.openstreetmap.org/node/12231227078
Lama Coffee Spot, 135397220, https://www.openstreetmap.org/node/12080372838
Lamanš Bistro, 355677890, https://www.openstreetmap.org/node/11147648705
Lava Nova, 364914994, https://www.openstreetmap.org/way/466471747
Le Bol, 1671244678, 
Ljiljan cocktail bar, 836321255, 
L’ADRESSE, 818927173, https://www.openstreetmap.org/node/11581848837
Mali prag, 1582946285, 
Martin Kafa, 1086033920, 
Martin kafa, 1320144891, 
Max Bakery, 1967361568, 
Mehurić champagne & bar, 80314513, 
Mesara Morava, 1170860297, 
Mi hleb, 905426038, 
Miamiam Restaurant & Catering, 998684030, 
Mimosa, 857165982, 
Monfrère caffe, 1985129503, 
Mono Coffee, 1355675667, https://www.openstreetmap.org/node/12504836790
Moritz Eis Belgrade, 174111722, X, closed
Moxy Belgrade, 1309690801, 
Nar Bar, 1521811928, 
Nekrasova The Bar, 1567755361, 
Nevski Hotel, 2145638395, X, wrong category
Noku Espresso and more, 646642163, 
Nomad Bar, 1391688333, 
OAT BAR BEOGRAD, 1587217781, https://www.openstreetmap.org/node/4433896694
OVO bistro, 1951735856, 
PARK Gastro Bar, 693030382, https://www.openstreetmap.org/node/12692647316
PASTIS bistro, 2110920130, 
POSH - Fish & Steak, 1398992413, 
PRANA Brunch & More, 2057954804, 
PRANA Brunch & More, 77443053, https://www.openstreetmap.org/node/11804311762
PRANA Brunch & More Zmaj, 1074788488, https://www.openstreetmap.org/node/11392262285
Pane E Vino, WEST 65, 1908931711, https://www.openstreetmap.org/node/7273751732, lokacija neprecizna
Panilulac, 1665267904, 
Panuša Palačinkarnica, 594121555, 
Paradise food, 2129860230, https://www.openstreetmap.org/node/12327153504, lokacija je bas off
Patisserie Mali Trg, 726336141, 
Picador Cafe & Restaurant, 806052816, 
Pietra Pizzeria & Cocktail Bar, 1526658241, 
Pizzagram Beo Shopping Center, 1248284580, 
Pizzagram Njegoševa, 828573894, 
Pizzagram Ušće, 1619793489, https://www.openstreetmap.org/node/10113920776
Plava zona, 1094195979, https://www.openstreetmap.org/node/12297086782
Poslastičarnica Šuma (The Forest), 1141349654, 
Pričica Coffee Bar, 469259897, https://www.openstreetmap.org/node/11885086156
Promenada, 36696803, 
Pržionica, 297114945, https://www.openstreetmap.org/node/4773685800
Pržionica kafe Kafograf, 738256066, https://www.openstreetmap.org/node/5305047332
Puter, 1313891095, 
Rai Urban Vege, 939261071, https://www.openstreetmap.org/node/10896618176
Rea Kids igraonica, 432666371, 
Rice Kings Sutlijaš bar, 283836773, https://www.openstreetmap.org/node/6391576485, lokacija nije precizna
