Pržionica, 857557819, 
Pržionica kafe Kafograf, 63878859, 
Puter, 1368043556, 
Rai Urban Vege, 1709756735, 
Rea Kids igraonica, 1366570842, 
Rice Kings Sutlijaš bar, 374387783, 
Rocket Coffee, specialty coffee shop, 336558756, 
Rustique Zanatska pekara, 844315545, 
S N I P P S T E R, 1206692936, 
SLOJ bakery, 491399316, 
SLOJ bistro & bakery, 1806341271, 
SMASH BURGERS, 1493849860, 
SOL express & bar, 1955773529, 
SPOT, 976543358, 
Saint Ten Hotel, 154204882, 
Salatara, 1858220607, 
Salon de thé by Small Tree, 791471033, 
Samo Dobra Kafa, 1434809659, 
Sendvič store Novi Beograd, 1091618715, 
SmartLife restoran, 1309342017, 
Sonder.Belgrade, 369277, 
Spoon Kafeterija, 1750123779, 
Starbucks Rajićeva, 1578636079, 
Stories, 1226198221, 
Sunshine bagel, 1076730802, 
Svetozar, 499402994, 
Sweet & green, 2133856473, 
TAO Thai restoran, 131141270, 
Teel cafe, 1462607653, 
Telma, 1325628207, 
Thyme - StreetFood & Breakfast, 219923144, 
Thyme - StreetFood & Breakfast, 1273878120, 
Tischler tobacco & coffee, 169080837, 
Tokio Sushi, 1708364152, 
Trattoria Sette Nani, 1382991613, 
Two Dogs Cafe / Dve kere, 1241867783, 
Urbano Kafa & Voće, 1429541789, 
Urma poslastičarnica, 947247721, 
VERA CAFE — Comfort Food, Specialty Coffee & Wine in Belgrade, 1079580555, 
Valentina i Karanfil, 1917718277, 
Vapiano Rajićeva, 313755239, 
VegANGELov, 153338832, 
Vege Art, 1796911856, 
Vege Vegan, 2014655460, 
Vinarija Frunzalerovic, 935322018, 
Waffle Heart, 366995117, 
Waffle Heart Zemun, 359041212, 
Wagokoro-Japanese mochi dessert and drinks-, 249294704, 
Way Cup kafeterija, 1660633241, 
Wekker Coffee, 538143855, 
Wiggle, 740837045, 
Wine community bar, 1130376123, 
eklektika 40, 510929253, 
june cafe, 860629797, 
Ćao Šećeru, 1011943986, 
Ćilim bar, 1219280544, 
Šarlo Gastrošor, 2142371904, 
Šećernema - Vegan Desserts & Coffee, 1292501307, 
Šećernema Liman - Vegan Desserts & Coffee, 5175298, 
Štrik kafe knjižara, 308403615, 
Џовани Пицерија, 498808976, 
Арт вајн, 93879985, 
Бициклана, 269760969, 
Енвој Хотел, 268801997, 
Жалфија - Žalfija, 1240984540, 
Испеци па реци, 2141962471, 
Кафе посластичарница "Фини", 1741858254, 
Кафетерија Гардош, 1403165585, 
Кофилин, 1105247256, 
Кућа чаја, 1733583203, 
Мимоза, 1719365943, 
Орашац, 1485876764, 
Посластичарница Блаха Лујза, 2077595574, 
Силоси, 1841622193, 
Ужитак Кафе, 803041824, 
Фиго, 917693313, 
Фиго, 917693313, 
септемБар, 1817537021, 
„Фењер“, 683846746, 
